ID,Level,Category,Content,Type,Image ,,,,,
125,Beginner,Animals,dolphin,word,file:///D:/jdk/FYP/Dataset_images/100-200/dolphin.svg,,,,,
126,Beginner,Colors,red,word,file:///D:/jdk/FYP/Dataset_images/100-200/red.svg,,,,,
127,Beginner,Colors,blue,word,file:///D:/jdk/FYP/Dataset_images/100-200/blue.svg,,,,,
128,Beginner,Colors,green,word,file:///D:/jdk/FYP/Dataset_images/100-200/green.svg,,,,,
129,Beginner,Colors,yellow,word,,,,,,
130,Beginner,Colors,orange,word,file:///D:/jdk/FYP/Dataset_images/100-200/orange.svg,,,,,
131,Beginner,Colors,purple,word,file:///D:/jdk/FYP/Dataset_images/100-200/purple.svg,,,,,
132,Beginner,Colors,pink,word,file:///D:/jdk/FYP/Dataset_images/100-200/pink.svg,,,,,
133,Beginner,Colors,black,word,,,,,,
134,Beginner,Colors,white,word,,,,,,
135,Beginner,Colors,gray,word,file:///D:/jdk/FYP/Dataset_images/100-200/gray.svg,,,,,
136,Beginner,Colors,brown,word,file:///D:/jdk/FYP/Dataset_images/100-200/brown.svg,,,,,
137,Beginner,Colors,golden,word,file:///D:/jdk/FYP/Dataset_images/100-200/golden.svg,,,,,
138,Beginner,Colors,silver,word,file:///D:/jdk/FYP/Dataset_images/100-200/silver.svg,,,,,
139,Beginner,Shapes,Circle,word,file:///D:/jdk/FYP/Dataset_images/100-200/Circle.svg,,,,,
140,Beginner,Shapes,Square,word,file:///D:/jdk/FYP/Dataset_images/100-200/Square.svg,,,,,
141,Beginner,Shapes,Triangle,word,file:///D:/jdk/FYP/Dataset_images/100-200/Triangle.svg,,,,,
142,Beginner,Shapes,Rectangle,word,file:///D:/jdk/FYP/Dataset_images/100-200/Rectangle.svg,,,,,
143,Beginner,Shapes,Star,word,file:///D:/jdk/FYP/Dataset_images/100-200/Star.svg,,,,,
144,Beginner,Furniture,Chair,word,file:///D:/jdk/FYP/Dataset_images/100-200/Chair.svg,,,,,
145,Beginner,Furniture,Table,word,file:///D:/jdk/FYP/Dataset_images/100-200/Table.svg,,,,,
